2025-04-11 18:50:53.740 INFO  (coreLoadExecutor-11-thread-3) [c: s: r: x:Topics t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: D:\GABY\solr-9.6.1\server\solr\Topics\conf
2025-04-11 18:50:53.740 INFO  (coreLoadExecutor-11-thread-3) [c: s: r: x:Topics t:] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2025-04-11 18:50:53.758 INFO  (coreLoadExecutor-11-thread-3) [c: s: r: x:Topics t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-04-11 18:50:53.759 INFO  (searcherExecutor-15-thread-1-processing-Topics) [c: s: r: x:Topics t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2025-04-11 18:50:53.759 INFO  (searcherExecutor-15-thread-1-processing-Topics) [c: s: r: x:Topics t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2025-04-11 18:50:53.759 INFO  (searcherExecutor-15-thread-1-processing-Topics) [c: s: r: x:Topics t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-04-11 18:50:54.347 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:discursos t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: D:\GABY\solr-9.6.1\server\solr\discursos\conf
2025-04-11 18:50:54.347 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:discursos t:] o.a.s.h.c.SuggestComponent Initializing SuggestComponent
2025-04-11 18:50:54.379 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:discursos t:] o.a.s.s.s.SolrSuggester init: {name=mySuggester, lookupImpl=AnalyzingInfixLookupFactory, dictionaryImpl=DocumentDictionaryFactory, field=tags, suggestAnalyzerFieldType=suggest_field}
2025-04-11 18:50:54.476 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:discursos t:] o.a.s.s.s.SolrSuggester Dictionary loaded with params: {name=mySuggester, lookupImpl=AnalyzingInfixLookupFactory, dictionaryImpl=DocumentDictionaryFactory, field=tags, suggestAnalyzerFieldType=suggest_field}
2025-04-11 18:50:54.502 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:discursos t:] o.a.s.h.c.SuggestComponent Registering searcher listener for suggester: mySuggester = SuggesterListener [core=org.apache.solr.core.SolrCore@6fdd59f3 discursos, suggester=SolrSuggester [ name=mySuggester, sourceLocation=null, storeDir=, lookupImpl=AnalyzingInfixLookupFactory, dictionaryImpl=DocumentDictionaryFactory, sizeInBytes=0 ], buildOnCommit=false, buildOnOptimize=false, buildOnStartup=true, isCoreReload=false]
2025-04-11 18:50:54.518 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:discursos t:] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2025-04-11 18:50:54.518 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:discursos t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-04-11 18:50:54.518 INFO  (searcherExecutor-17-thread-1-processing-discursos) [c: s: r: x:discursos t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2025-04-11 18:50:54.518 INFO  (searcherExecutor-17-thread-1-processing-discursos) [c: s: r: x:discursos t:] o.a.s.h.c.SuggestComponent buildOnStartup: mySuggester
2025-04-11 18:50:54.518 INFO  (searcherExecutor-17-thread-1-processing-discursos) [c: s: r: x:discursos t:] o.a.s.s.s.SolrSuggester SolrSuggester.build(mySuggester)
2025-04-11 18:50:57.924 INFO  (searcherExecutor-17-thread-1-processing-discursos) [c: s: r: x:discursos t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2025-04-11 18:50:57.924 INFO  (searcherExecutor-17-thread-1-processing-discursos) [c: s: r: x:discursos t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
